区市,発売所,シルバーパス（磁気券）,都営バスグッズ
中野区,都営バス小滝橋営業所,〇,〇
杉並区,都営バス杉並支所,〇,〇
練馬区,都営バス練馬支所,〇,〇
練馬区,都営地下鉄練馬駅▲,〇,×
板橋区,都営地下鉄高島平駅▲,〇,×
