配置,施設名,設置場所,営業時間・利用時間,サイズ・口数（コインロッカー）,座席,電話番号,ホームページ,PASMO対応,備考
A,コインロッカー,B1階改札外コンコース（JR本八幡駅方面改札付近）,,【中型】6口【標準】26口,,,,一部,★宅配受取サービス（利用時間：5時から24時まで）
B,コインロッカー,B1階改札外コンコース（駅務室付近）,,【中型】3口【標準】15口,,,,,
C,証明写真機,B1階改札外コンコース（JR本八幡駅方面改札付近）,,,,,,,
D,ATM（みずほ銀行）,B1階改札外コンコース（JR本八幡駅方面改札付近）,【月曜】7時から24時まで【火曜～金曜】5時から24時まで【土曜】5時から22時まで【日曜】8時から21時まで【祝日】当該曜日営業時間,,,,,,
E,ATM（セブン銀行）,B1階改札外コンコース（JR本八幡駅方面改札付近）,【全日】5時から24時まで,,,,,,
F,TOEI'S SELECTION 期間限定ショップ  ,1階改札外コンコース（JR本八幡駅方面改札付近）,,,,,,,様々な食品やデザートを取り扱う店舗が入れ替り出店しています。各店自慢の品をぜひご賞味ください。出店予定スケジュール（https://www.tkk.or.jp/enterprise/station/#event-store）
