運転開始年月,昭和32年12月
発電方式,ダム式及びダム水路式
流域面積（平方キロメートル）,263.0
最大出力（キロワット）,"19,000"
最大使用水量（立方メートル／秒）,21.50
最大有効落差（メートル）,106.74
