区間,営業キロ（km）,開業年月日
岩本町～東大島,6.8,1978/12/21
新宿～岩本町,7.3,1980/3/16
東大島～船堀,1.7,1983/12/23
船堀～篠崎,4.9,1986/9/14
篠崎～本八幡,2.8,1989/3/19
営業キロ計,23.5,
