配置,施設名,設置場所,営業時間・利用時間,サイズ・口数（コインロッカー）,座席,電話番号,ホームページ,PASMO対応,備考
A,おむすび百千（おにぎり販売）,大江戸線B1階改札内コンコース（改札付近）,【全日】7時から21時まで,,,03- 5625-1575,http://www.momochi.co.jp/,○,
B,コインロッカー,新宿線B1階改札外コンコース（A3出口方改札付近）,,【大型】2口【中型】2口【標準】3口【ハーフ】10口,,,,○,★宅配受取サービス（利用時間：5時から24時まで）
C,コインロッカー,大江戸線B1階改札外コンコース（A5出口方）,,【中型】3口【標準】15口,,,,,
D,コインロッカー,大江戸線B1階改札外コンコース（A6・A7出口方）,,【標準】20口,,,,,
E,証明写真機,新宿線B1階改札外コンコース（A1出口方）,,,,,,,
F,証明写真機,大江戸線B1階改札外コンコース（A6・A7出口方）,,,,,,,
G,ATM（セブン銀行）,大江戸線B1階改札外コンコース（A6・A7出口方）,【全日】5時から24時まで,,,,,,
