配置,施設名,設置場所,営業時間・利用時間,サイズ・口数（コインロッカー）,座席,電話番号,ホームページ,PASMO対応,備考
A,ファミリーマート（ミニ・コンビニ）,B1階改札外コンコース（若松口方改札付近）,【全日】7時から23時まで,,,03-5919-1358,http://www.family.co.jp/,○,
B,ふらっと新宿・エスポワール（パン・飲食等）,B1階改札外コンコース（若松口方）,【平日】10時30分から18時まで【土曜】休業【日曜・祝日】休業,,,03-5273-3852,,○,
C,コインロッカー,B1階改札外コンコース（若松口方）,,【標準】20口,,,,,
D,証明写真機,B1階改札外コンコース（河田口方改札付近）,,,,,,○,
E,ATM（三井住友銀行）,B1階改札外コンコース（河田口方）,【平日】7時から24時まで【土曜】7時から24時まで【日曜】7時から21時まで,,,,,,
F,ATM（セブン銀行）,B1階改札外コンコース（河田口方）,【全日】5時から24時まで,,,,,,
