配置,施設名,設置場所,営業時間・利用時間,サイズ・口数（コインロッカー）,座席,電話番号,ホームページ,PASMO対応,備考
A,フレッシュベーカリー 神戸屋（喫茶・パン等）,B1階改札外コンコース（JR新橋駅・汐留方面改札横）,【全日】7時から21時まで,,17席,03-5537-2871,https://www.kobeya.co.jp/shopmap/fresh_bakery/fb_shinbashi,○,
B,Sweets De Metro（スイーツ販売）,B1階改札外コンコース（A3出口方面通路）,【平日】11時から22時まで【土曜・日曜・祝日】11時から20時まで,,,03-5827-5837,,,
C,コインロッカー,B1階改札外コンコース（A3出口方通路）,,【大型】9口【中型】9口【標準】10口,,,,○,
D,ATM（みずほ銀行）,B1階改札外コンコース（A3出口方通路）,【月曜】7時から24時まで【火曜～金曜】5時から24時まで【土曜】5時から22時まで【日曜】8時から21時まで【祝日】当該曜日営業時間,,,,,,
