配置,施設名,設置場所,営業時間・利用時間,サイズ・口数（コインロッカー）,座席,電話番号,ホームページ,PASMO対応,備考
A,ファミリーマート（ミニ・コンビニ）,B1階改札外コンコース（改札付近）,【全日】7時から23時まで ,,,03-5332-3830,http://www.family.co.jp/,○,
B,コインロッカー,B1階改札外コンコース（A1出口方）,,【標準】25口,,,,,
C,証明写真機,B1階改札外コンコース（A1出口方）,,,,,,,
D,ATM（セブン銀行）,B1階改札外コンコース（A1出口方）,【全日】5時から24時まで,,,,,,
E,期間限定ショップ（ワゴン販売）,B1階改札外コンコース（丸ノ内線中野坂上駅方）,,,,,,,週替わりで和菓子、洋菓子、雑貨など様々な商品を販売。出店予定スケジュール（https://www.tkk.or.jp/enterprise/station/oedo-nakanosakaue/）
