配置,施設名,設置場所,営業時間・利用時間,サイズ・口数（コインロッカー）,座席,電話番号,ホームページ,PASMO対応,備考
A,ジェムウォッチ（貴金属・時計等修理）,B1階改札外コンコース（改札前）,【全日（火曜を除く）】10時から19時まで【火曜】休業,,,03-3670-4649,http://www.gem-watch.com/,○,
B,コインロッカー,B1階改札内コンコース（駅務室横）,,【標準】20口,,,,,
C,証明写真機,B1階改札外コンコース（改札横）,,,,,,,
D,ATM（セブン銀行）,B1階改札外コンコース（改札前）,【全日】5時から24時まで,,,,,,
E,宅配受取ロッカー（PUDOステーション）,B1階改札外コンコース（西口方）,【全日】5時から24時まで,,,,,,
