,浅草線,三田線,新宿線,大江戸線
最短運転時隔,2分30秒,2分30秒,2分30秒,3分00秒
表定速度（カッコ内はエアポート快特・急行）,北行29.0km/h、南行29.2km/h（北行33.5km/h、南行33.5km/h）,30.4km/h,西行34.0km/h、東行34.0km/h（西行47.4km/h、東行47.1km/h）,内回り※4（光が丘発）29.0km/h、外回り（都庁前発）29.2km/h
最高速度（km/h）,70.0,75.0,75.0,70.0
運転所要時分（カッコ内はエアポート快特・急行）,北行37分55秒、南行37分40秒（※2 20分25秒）,北行52分20秒、南行52分15秒,西行41分30秒、東行41分30秒（西行29分45秒、東行29分55秒）,内回り※4 84分15秒、外回り 83分30秒
相互直通運転,京急線、京成線、北総線、芝山線,東急線,京王線,-
