区間,営業キロ（km）,開業年月日
浅草橋～押上,3.1,1960/12/4
東日本橋～浅草橋,0.7,1962/5/31
人形町～東日本橋,0.7,1962/9/30
東銀座～人形町,2.4,1963/2/28
新橋～東銀座,0.9,1963/12/12
大門～新橋,1,1964/10/1
泉岳寺～大門,2.6,1968/6/21
西馬込～泉岳寺,6.9,1968/11/15
営業キロ計,18.3,
