注文日（Date）,品名（Name of Item）,数量（Quantity）,単位（Unit）,安全注釈リストの分類（Classification）1,安全注釈リストの分類（Classification）2,安全注釈リストの分類（Classification）3,契約相手先（Contractor）,手続(注）（Procedure）
2017/4/1,制御装置更新,2,編成,車両および車両産品,車両産品,鉄道用の機関車又は車両用の部分品,川崎重工業株式会社,無
2017/4/1,リニアモータ修繕,4,編成,車両および車両産品,車両産品,鉄道用の機関車又は車両用の部分品,株式会社日立製作所,無
2017/4/1,車両冷房装置修繕,1,式,車両および車両産品,車両産品,鉄道用の機関車又は車両用の部分品,京王重機整備株式会社,有
2017/4/1,車輪転削修繕,1,式,車両および車両産品,車両産品,鉄道用の機関車又は車両用の部分品,京王重機整備株式会社,有
2017/5/17,レール,17700,m,鉄道施設を構成する産品,鉄道線路,レールその他軌道の構成産品、レールの接続又は取付けに専ら使用する産品,日鉄住金物産株式会社,有
2017/5/18,リアクションプレート,350,枚,鉄道施設を構成する産品,鉄道線路,レールその他軌道の構成産品、レールの接続又は取付けに専ら使用する産品,株式会社日立製作所,有
2017/6/12,列車無線装置改修,31,編成,車両および車両産品,車両産品,鉄道用の機関車又は車両用の部分品,株式会社日立製作所,有
2017/6/12,車両制御装置改修,6,両,車両および車両産品,車両産品,鉄道用の機関車又は車両用の部分品,アルナ車両株式会社,有
2017/6/30,可動式ホーム柵部品交換,1,式,鉄道施設を構成する産品,運転保安設備,鉄道の信号用、安全用又は交通管制用の電気、並びに機械式機器(電気機械式を含む）,八洲電機株式会社,無
2017/7/12,車両冷房装置,3,編成,車両および車両産品,車両産品,鉄道用の機関車又は車両用の部分品,株式会社菱交,有
2017/8/8,運行制御装置改修,1,式,鉄道施設を構成する産品,運転保安設備,鉄道の信号用、安全用又は交通管制用の電気、並びに機械式機器(電気機械式を含む）,株式会社日立製作所,無
2017/8/9,転てつ機製造,1,式,鉄道施設を構成する産品,運転保安設備,鉄道の信号用、安全用又は交通管制用の電気、並びに機械式機器(電気機械式を含む）,株式会社京三製作所,無
2017/8/14,電力設備製造,1,式,鉄道施設を構成する産品,変電所等設備,発変電設備及びその構成産品,株式会社有電社,有
2017/8/31,運行制御装置改修,1,式,鉄道施設を構成する産品,運転保安設備,鉄道の信号用、安全用又は交通管制用の電気、並びに機械式機器(電気機械式を含む）,株式会社日立製作所,無
2017/9/4,信号保安装置修繕,1,式,鉄道施設を構成する産品,運転保安設備,鉄道の信号用、安全用又は交通管制用の電気、並びに機械式機器(電気機械式を含む）,株式会社日立製作所,無
2017/9/7,ホームドア改修,1,式,鉄道施設を構成する産品,運転保安設備,鉄道の信号用、安全用又は交通管制用の電気、並びに機械式機器(電気機械式を含む）,日本信号株式会社,無
2017/9/26,伝送装置更新,1,式,車両および車両産品,車両産品,鉄道用の機関車又は車両用の部分品,株式会社日立国際電気,無
2017/9/26,駅監視装置製造,1,式,鉄道施設を構成する産品,停車場,鉄道の信号用、安全用又は交通管制用の電気、並びに機械式機器(電気機械式を含む）,株式会社日立国際電気,無
2017/9/29,駅機械設備修繕,1,式,鉄道施設を構成する産品,停車場,鉄道施設に使用する換気設備,協立機電工業株式会社,有
2017/9/29,案内表示器製造,1,式,鉄道施設を構成する産品,運転保安設備,鉄道の信号用、安全用又は交通管制用の電気、並びに機械式機器(電気機械式を含む）,株式会社星光,有
2017/9/29,電源装置製造,1,式,鉄道施設を構成する産品,変電所等設備,発変電設備及びその構成産品,ソニービジネスソリューション株式会社,有
