配置,施設名,設置場所,営業時間・利用時間,サイズ・口数（コインロッカー）,座席,電話番号,ホームページ,PASMO対応,備考
A,フレッシュベーカリー神戸屋（パン）,B2階改札内コンコース（東西線九段下駅西船橋方面乗換方　階段横）,【全日】7時から21時まで,,,03-5215-1703,https://www.kobeya.co.jp/shopmap/restaurant/fb_kudanshita,○,
B,コインロッカー,B2階改札外コンコース（3・4出口階段横）,,【大型】2口【中型】2口【標準】8口,,,,○,
C,コインロッカー,B2階改札外コンコース（3・4出口階段下）,,【大型】2口【中型】2口【標準】23口,,,,○,
D,ATM（セブン銀行）,B2階改札外コンコース（1出口階段付近）,【全日】5時から24時まで,,,,,,
E,ATM（みずほ銀行）,B2階改札外コンコース（東西線九段下駅中野方面乗換方　階段横）,【月曜】7時から24時まで【火曜～金曜】5時から24時まで【土曜】5時から22時まで【日曜】8時から21時まで【祝日】当該曜日営業時間,,,,,,
F,モバイルバッテリースタンド（ChargeSPOT）,B2階改札外コンコース（1出口階段付近）,,,,,,,
