No．,ビル名,利用内容,建物所在,緯度,経度,座標系
1,東京交通会館,事務所・店舗,千代田区有楽町2-10-1,35.674893,139.764333,JGD2011
2,有楽町電気ビル,事務所,千代田区有楽町1-7-1,35.674554,139.761993,JGD2011
3,本八幡地下鉄会館,店舗,市川市八幡2-16-13,35.721661,139.926076,JGD2011
4,東京トラフィック錦糸町ビル,事務所・店舗,墨田区江東橋4-26-5,35.695479,139.815658,JGD2011
5,KDX神保町ビル,事務所,千代田区神田神保町1-14-1,35.696604,139.758300,JGD2011
6,須田町佐志田ビル,事務所,千代田区神田須田町2-5-2,35.695992,139.772428,JGD2011
7,三田NNビル,事務所・店舗,港区芝4-1-23,35.648986,139.749480,JGD2011
8,アクス本八幡,事務所・店舗,市川市八幡3-4-1,35.723631,139.926851,JGD2011
9,三田ステ－ションビルアミタ,事務所・住居,港区芝5-31-7,35.646874,139.746651,JGD2011
10,セントラルプラザ大島,事務所・店舗,江東区大島5-10-10,35.689215,139.834176,JGD2011
11,代々木クリスタルビル,事務所・店舗,渋谷区代々木1-35-4,35.683884,139.701828,JGD2011
12,田町交通ビル,事務所・店舗,港区芝浦3-2-22,35.644310,139.749634,JGD2011
13,本郷三丁目THビル,事務所,文京区本郷2-40-8,35.707232,139.760126,JGD2011
14,有楽町駅前ビルディング（イトシア）,事務所・店舗,千代田区有楽町2-7-1,35.674121,139.763849,JGD2011
15,ラティス青山スクエア,事務所・店舗,港区南青山1-2-6,35.672117,139.725257,JGD2011
16,目黒セントラルスクエア,事務所,品川区上大崎3-1-1,35.633414,139.716739,JGD2011
