駅名,一日平均乗車人員,一日平均降車人員
目黒,41721,39653
白金台,4074,4653
白金高輪,10107,10426
三田,41383,41538
芝公園,11512,11750
御成門,18886,19313
内幸町,14612,15234
日比谷,35421,36109
大手町,43984,44662
神保町,58760,58899
水道橋,19643,20295
春日,30333,30258
白山,21473,21189
千石,14259,13881
巣鴨,40710,41376
西巣鴨,13433,13034
新板橋,13152,13110
板橋区役所前,15687,15600
板橋本町,16633,16002
本蓮沼,11343,11035
志村坂上,13508,13554
志村三丁目,14155,13849
蓮根,8901,8731
西台,11337,11310
高島平,12643,12536
新高島平,4360,4277
西高島平,5965,5722
計27駅,547997,547997
