,大人,小児,幼児,乳児
年齢等,12歳以上（中学生以上）,6～11歳（12歳の小学生を含む。）,1～5歳（就学前の6歳を含む。）,1歳未満
適用運賃,大人運賃,小児運賃,大人又は小児に同伴する場合は2人まで無料です。3人目から及び幼児のみで乗車する場合は小児運賃が必要です。 ,無料
