施設名,設置場所,営業時間・利用時間,サイズ・口数（コインロッカー）,座席,電話番号,ホームページ,PASMO対応,備考
フロプレステージュ（洋菓子販売）,B1改札内コンコース,【平日】10時から22時まで【土曜】10時から22時まで【日曜・祝日】10時から22時まで,,,03-6273-7870,https://www.flojapon.co.jp/,◯,
青山フラワーマーケット（生花店）,B1改札内コンコース,【平日】10時から20時まで【土曜】10時から18時まで【日曜・祝日】10時から18時まで,,,03-5577-7487,https://www.aoyamaflowermarket.com/,◯,
スターバックスコーヒー（喫茶）,B1改札内コンコース,【平日】7時から22時30分まで【土曜】7時から22時30分まで【日曜・祝日】7時から22時30分まで,,,03-3518-9481,https://www.starbucks.co.jp/,◯,
コインロッカー,B1階改札外コンコース（神保町交差点北側方面改札付近）,,【大型】5口【中型】5口【標準】6口【ハーフ】5口,,,,◯,
コインロッカー,B1階改札外コンコース（定期券発売所前）,,【大型】3口【中型】3口【標準】14口,,,,◯,
証明写真機,B1階改札外コンコース（定期券発売所前）,,,,,,,
ATM（みずほ銀行）,B1階改札外コンコース（神保町交差点北側方面改札付近）,【月曜】7時から24時まで【火曜～金曜】5時から24時まで【土曜】5時から22時まで【日曜】8時から21時まで【祝日】当該曜日営業時間 ,,,,,,
ATM（セブン銀行）,B1階改札外コンコース（定期券発売所前）,【全日】5時から24時まで,,,,,,
モバイルバッテリースタンド（充レン）,B1階改札外コンコース（神保町交差点北側方面改札付近）,,,,,,,
