注文日（Date）,品名（Name of Item）,数量（Quantity）,単位（Unit）,安全注釈リストの分類（Classification）1,安全注釈リストの分類（Classification）2,安全注釈リストの分類（Classification）3,契約相手先（Contractor）,手続(注）（Procedure）
2018/04/01,運行制御装置更新,1,式,鉄道施設を構成する産品,運転保安設備,鉄道の信号用、安全用又は交通管制用の電気、並びに機械式機器(電気機械式を含む）,株式会社京三製作所,無
2018/04/01,車輪転削修繕,1,式,車両および車両産品,車両産品,鉄道用の機関車又は車両用の部分品,京王重機整備株式会社,有
2018/04/01,車両冷房修繕,1,式,車両および車両産品,車両産品,鉄道用の機関車又は車両用の部分品,京王重機整備株式会社,有
2018/04/01,列車無線制御装置製造,1,式,鉄道施設を構成する産品,運転保安設備,鉄道の信号用、安全用又は交通管制用の電気、並びに機械式機器(電気機械式を含む）,株式会社日立国際電気,無
2018/04/01,運行制御装置改修,1,式,鉄道施設を構成する産品,運転保安設備,鉄道の信号用、安全用又は交通管制用の電気、並びに機械式機器(電気機械式を含む）,株式会社日立製作所,無
2018/04/01,ホームドア更新,1,式,鉄道施設を構成する産品,運転保安設備,鉄道の信号用、安全用又は交通管制用の電気、並びに機械式機器(電気機械式を含む）,株式会社京三製作所,有
2018/04/01,転てつ機製造,1,機,鉄道施設を構成する産品,運転保安設備,鉄道の信号用、安全用又は交通管制用の電気、並びに機械式機器(電気機械式を含む）,株式会社京三製作所,無
2018/04/01,電力設備製造,1,式,鉄道施設を構成する産品,変電所等設備,発変電設備及びその構成産品,株式会社明電舎,有
2018/04/01,車両用部品購入,1,式,車両および車両産品,車両産品,鉄道用の機関車又は車両用の部分品,住友商事株式会社,無
2018/04/26,リアクションプレート,440,枚,鉄道施設を構成する産品,鉄道線路,レールその他軌道の構成産品、レールの接続又は取付けに専ら使用する産品,株式会社日立製作所,有
2018/05/18,ホームドア製造,4,駅,鉄道施設を構成する産品,運転保安設備,鉄道の信号用、安全用又は交通管制用の電気、並びに機械式機器(電気機械式を含む）,日本信号株式会社,有
2018/05/18,レール,22500,m,鉄道施設を構成する産品,鉄道線路,レールその他軌道の構成産品、レールの接続又は取付けに専ら使用する産品,塚本總業株式会社,有
2018/07/26,車輪,880,枚,車両および車両産品,車両産品,鉄道用の機関車又は車両用の部分品,住友商事株式会社,無
2018/08/07,運行管理装置部品交換,1,式,鉄道施設を構成する産品,運転保安設備,鉄道の信号用、安全用又は交通管制用の電気、並びに機械式機器(電気機械式を含む）,株式会社神戸製鋼所,無
2018/09/05,運行制御装置改修,1,式,鉄道施設を構成する産品,運転保安設備,鉄道の信号用、安全用又は交通管制用の電気、並びに機械式機器(電気機械式を含む）,株式会社日立製作所,無
2018/09/05,検測車,1,台,車両および車両産品,車両,鉄道用の客車及び貨車,マティサ・ジャパン株式会社,有
2018/09/10,レール削正車分解整備,1,台,車両および車両産品,車両産品,鉄道用の機関車又は車両用の部分品,伊岳商事株式会社,有
2018/09/20,信号保安装置修繕,1,式,鉄道施設を構成する産品,運転保安設備,鉄道の信号用、安全用又は交通管制用の電気、並びに機械式機器(電気機械式を含む）,日本信号株式会社,無
2018/09/25,ホームドア部品交換,1,式,鉄道施設を構成する産品,運転保安設備,鉄道の信号用、安全用又は交通管制用の電気、並びに機械式機器(電気機械式を含む）,日本信号株式会社,無
2018/09/27,運行制御装置改修,1,式,鉄道施設を構成する産品,運転保安設備,鉄道の信号用、安全用又は交通管制用の電気、並びに機械式機器(電気機械式を含む）,株式会社京三製作所,無
2018/09/27,伝送装置修繕,1,式,車両および車両産品,車両産品,鉄道用の機関車又は車両用の部分品,八洲電機株式会社,無
