,浅草線,三田線,三田線,新宿線,大江戸線,大江戸線
形式,5500形,6300形,6500形,10-300形,12-000形,12-600形
在籍車両数,216両,144両,104両,280両,280両,184両
両数×編成,8両×27編成,6両×24編成,8両×13編成,10両×28編成,8両×35編成,8両×23編成
車両長,18,20,20,20,16.5,16.5
定員（人）（先頭車）,121,136,139,136,90,84
定員（人）（中間車）,134,147,149,149,100,95
運転・保安装置※1,C-ATS,ATC/ATO,ATC/ATO,ATC,ATC/ATO,ATC/ATO
軌間（mm）,"1,435","1,067","1,067","1,372","1,435","1,435"
電気方式,"直流 1,500V","直流 1,500V","直流 1,500V","直流 1,500V","直流 1,500V","直流 1,500V"
