区間,営業キロ（km）,開業年月日
練馬～光が丘,3.8,1991/12/10
新宿～練馬,9.1,1997/12/19
国立競技場～新宿,2.1,2000/4/20
都庁前～国立競技場,25.7,2000/12/12
営業キロ計,40.7,
