配置,施設名,設置場所,営業時間・利用時間,サイズ・口数（コインロッカー）,座席,電話番号,ホームページ,PASMO対応,備考
A,Sweets De Metro（スイーツ販売）,B2階改札外コンコース（日本橋方面改札付近）,【平日】11時から22時まで【土曜・日曜・祝日】11時から21時まで,,,03-5827-5835,,,
B,コインロッカー,B2階改札外コンコース（D1・D2出口方 階段付近）,【大型】2口【中型】3口【標準】10口,,,,,,
C,ATM（セブン銀行）,B2階改札外コンコース（D1・D2出口方 階段付近）,【全日】5時から24時まで,,,,,,
