区市,発売所,所在地,電話,営業時間,休業日,地図
足立区,都営バス千住営業所,足立区梅田2-3-11-101 都営バス「千住車庫」すぐ,03-3886-4125,7:00～20:00,無休,http://www.kotsu.metro.tokyo.jp/bus/branch/map/eigyo_senju.html
足立区,西新井駅前発売所,足立区西新井栄町1-17-1 パサージオ西新井1階,03-3880-3100,"11:30～13:00、
14:00～19:00",土・日・祝,http://www.kotsu.metro.tokyo.jp/bus/noriba/nishiarai/map.html
葛飾区,都営バス青戸支所,葛飾区白鳥1-8-1 都営バス「青戸車庫前」すぐ,03-3691-2909,7:00～20:00,無休,http://www.kotsu.metro.tokyo.jp/bus/branch/map/eigyo_aoto.html
