配置,施設名,設置場所,営業時間・利用時間,サイズ・口数（コインロッカー）,座席,電話番号,ホームページ,PASMO対応,備考
A,喫茶アラジン（パン、飲料等）,B1階改札内コンコース,【平日】10時頃から15時まで（不定休あり）【土曜】休業【日曜・祝日】休業,,,03-6226-1099,http://www.ikuseikai-tky.or.jp/~iku-r.b.h/ningyo.html,○,
B,コインロッカー,B1階改札外コンコース（日比谷線改札付近）,,【大型】4口【中型】4口【標準】5口,,,,○,
C,証明写真機,B1階改札外コンコース（日比谷線改札付近）,,,,,,,
D,ATM（みずほ銀行）,B1階改札外コンコース（日比谷線改札付近）,【月曜】7時から24時まで【火曜～金曜】5時から24時まで【土曜】5時から22時まで【日曜】8時から21時まで【祝日】当該曜日営業時間,,,,,,
E,ATM（セブン銀行）,B1階改札外コンコース（日比谷線改札付近）,【全日】5時から24時まで,,,,,,
