配置,施設名,設置場所,営業時間・利用時間,サイズ・口数（コインロッカー）,座席,電話番号,ホームページ,PASMO対応,備考
A,ファミリーマート（コンビニ）,3階改札外コンコース（トイレ付近）,【全日】6時から23時まで,,,03-6806-7182,https://www.family.co.jp/,○,
B,コインロッカー,2階改札外コンコース（ガーデンタワー口方改札横）,【大型】2口【中型】3口【標準】15口,,,,,,
C,宅配受取ロッカー（PUDOステーション）,2階改札外コンコース（階段横）,【平日】5時から24時まで,,,,,,
