注文日（Date）,品名（Name of Item）,数量（Quantity）,単位（Unit）,安全注釈リストの分類（Classification）1,安全注釈リストの分類（Classification）2,安全注釈リストの分類（Classification）3,契約相手先（Contractor）,手続(注）（Procedure）
2016/10/17,車両制御装置更新,6,編成,車両および車両産品,車両産品,鉄道用の機関車又は車両用の部分品,株式会社日立製作所,無
2016/10/26,機械設備分解整備,1,式,鉄道施設を構成する産品,停車場,鉄道施設に使用する換気設備,協立機電工業株式会社,有
2016/11/11,車両更新修繕,5,編成,車両および車両産品,車両産品,鉄道用の機関車又は車両用の部分品,京王重機整備株式会社,有
2016/11/22,乗降監視装置修繕,8,編成,車両および車両産品,車両産品,鉄道用の機関車又は車両用の部分品,株式会社日立製作所,無
2016/11/24,車両制御装置更新,6,編成,車両および車両産品,車両産品,鉄道用の機関車又は車両用の部分品,東芝トランスポートエンジニアリング株式会社,無
2016/11/22,車両パワーユニットほか,1,編成,車両および車両産品,車両産品,鉄道用の機関車又は車両用の部分品,株式会社日立製作所,無
2017/2/6,車輪,1,式,車両および車両産品,車両産品,鉄道用の機関車又は車両用の部分品,住友商事株式会社,無
2017/2/8,通信用電源装置製造,1,式,鉄道施設を構成する産品,停車場,鉄道の信号用、安全用又は交通管制用の電気、並びに機械式機器(電気機械式を含む）,株式会社ホマレ電池,有
2017/2/9,車両運行装置更新,2,編成,車両および車両産品,車両産品,鉄道用の機関車又は車両用の部分品,株式会社日立製作所,無
2017/2/9,列車無線基地局製造,1,式,鉄道施設を構成する産品,停車場,鉄道の信号用、安全用又は交通管制用の電気、並びに機械式機器(電気機械式を含む）,株式会社日立国際電気,無
2017/2/9,通信用伝送装置製造,1,式,鉄道施設を構成する産品,停車場,鉄道の信号用、安全用又は交通管制用の電気、並びに機械式機器(電気機械式を含む）,株式会社日立国際電気,無
2017/2/10,機械設備監視装置更新,1,式,鉄道施設を構成する産品,停車場,鉄道施設に使用する換気設備,アズビル株式会社,有
