都営地下鉄キロ程表,,,,,,,,
,,,,,,,,
項番,路線,駅ナンバー,出発駅名,駅ナンバー,到着駅名,キロ程,備考,情報更新日
1,浅草線,A-01,西馬込,A-02,馬込,1.2,,2015/10/1
2,浅草線,A-02,馬込,A-03,中延,0.9,,2015/10/1
3,浅草線,A-03,中延,A-04,戸越,1.1,,2015/10/1
4,浅草線,A-04,戸越,A-05,五反田,1.6,,2015/10/1
5,浅草線,A-05,五反田,A-06,高輪台,0.7,,2015/10/1
6,浅草線,A-06,高輪台,A-07,泉岳寺,1.4,,2015/10/1
7,浅草線,A-07,泉岳寺,A-08,三田,1.1,,2015/10/1
8,浅草線,A-08,三田,A-09,大門,1.5,,2015/10/1
9,浅草線,A-09,大門,A-10,新橋,1.0,,2015/10/1
10,浅草線,A-10,新橋,A-11,東銀座,0.9,,2015/10/1
11,浅草線,A-11,東銀座,A-12,宝町,0.8,,2015/10/1
12,浅草線,A-12,宝町,A-13,日本橋,0.8,,2015/10/1
13,浅草線,A-13,日本橋,A-14,人形町,0.8,,2015/10/1
14,浅草線,A-14,人形町,A-15,東日本橋,0.7,,2015/10/1
15,浅草線,A-15,東日本橋,A-16,浅草橋,0.7,,2015/10/1
16,浅草線,A-16,浅草橋,A-17,蔵前,0.7,,2015/10/1
17,浅草線,A-17,蔵前,A-18,浅草,0.9,,2015/10/1
18,浅草線,A-18,浅草,A-19,本所吾妻橋,0.7,,2015/10/1
19,浅草線,A-19,本所吾妻橋,A-20,押上,0.8,,2015/10/1
,浅草線,合計,,,,18.3,,
,,,,,,,,
項番,路線,駅ナンバー,出発駅名,駅ナンバー,到着駅名,キロ程,備考,情報更新日
1,三田線,I-01,目黒,I-02,白金台,1.3,,2015/10/1
2,三田線,I-02,白金台,I-03,白金高輪,1.0,,2015/10/1
3,三田線,I-03,白金高輪,I-04,三田,1.7,,2015/10/1
4,三田線,I-04,三田,I-05,芝公園,0.6,,2015/10/1
5,三田線,I-05,芝公園,I-06,御成門,0.7,,2015/10/1
6,三田線,I-06,御成門,I-07,内幸町,1.1,,2015/10/1
