区市,発売所,都営まるごときっぷ（IC）,都営まるごときっぷ（磁気券）,都営バス一日券（磁気券）
足立区,都営バス千住営業所,×,〇,〇
足立区,西新井駅前発売所,×,〇,〇
葛飾区,都営バス青戸支所,×,〇,〇
