窓口,所在地,緯度,経度,座標系,電話,営業時間,休業日
荒川電車営業所,荒川区西尾久8-33-7（都電荒川車庫前停留場すぐ）,35.751189,139.751899,JGD2011,03-3893-7451,7:00～19:00,無休
佐野印房（町屋駅前）,荒川区町屋2-8-1,35.743218,139.780021,JGD2011,03-3893-7451,9:00～20:00（※土曜・祝日は9:00～18:00）,日、5月の連休のうち1日
三ノ輪橋おもいで館,荒川区南千住1-12-6（都電三ノ輪橋停留場すぐ）,35.732031,139.791807,JGD2011,03-3893-7451,10:00～18:00,火曜、水曜、年末年始（火曜、水曜が祝日の場合は営業）
王子駅前,北区王子1-10（JR王子駅北口都バスターミナル内）,35.752989,139.738053,JGD2011,03-3927-0759,8:00～20:00,土日祝
都営地下鉄三田線巣鴨駅定期券発売所,豊島区巣鴨3-27-7,35.733310,139.738248,JGD2011,03-3949-3997,8:00～20:00,無休
大塚駅前停留場,都電大塚駅前停留場内,35.731832,139.728115,JGD2011,03-3910-6255,8:00～19:30,土日祝
早稲田自動車営業所,新宿区西早稲田1-9-23,35.710772,139.720726,JGD2011,03-3208-3492,7:00～20:00,無休
日暮里駅定期券販売所,荒川区西日暮里2-19-2,35.728805,139.771145,JGD2011,03-5837-2642,8:00～20:00,無休
