系統番号,区間,収入（千円）,支出（千円）,損益額（千円）,乗車料収入（千円／日）,乗車人員（人／日）,営業係数
AL01,東大島駅前～（小松川二丁目循環）～東大島駅前,18700,25360,-6660,66,593,136
C・H01,新宿駅西口～（都庁第一本庁舎循環）～新宿駅西口,33229,41473,-8244,81,489,125
FL01,葛西駅前～錦糸町駅前,19966,23307,-3340,147,1023,117
RH01,渋谷駅前～六本木ヒルズ,182665,192677,-10013,443,2506,105
S-1,東京駅丸の内北口～錦糸町駅前,67031,110202,-43171,153,1061,164
都01,渋谷駅前～新橋駅前,956239,902459,53780,2301,13381,94
市01,新橋駅前～（築地中央市場循環）～新橋駅前,55781,120679,-64898,144,877,216
海01,門前仲町～東京テレポート駅前,690765,736874,-46109,1677,11021,107
学01,東大構内～上野駅前,72069,89711,-17642,172,1167,124
直行01,大井町駅東口～（八潮パークタウン循環）～大井町駅東口,21370,14305,7064,82,505,67
豊洲01,豊洲駅前～（豊洲一丁目・豊洲駅前・キャナルコート循環）～豊洲駅前,59242,78332,-19091,207,1240,132
波01,東京テレポート駅前～中央防波堤,88183,128223,-40040,206,1335,145
都02,大塚駅前～錦糸町駅前,1253747,1105410,148337,3103,19997,88
学02,高田馬場駅前～早大正門,291216,287085,4131,712,4812,99
都03,晴海埠頭～四谷駅,113595,161710,-48116,264,1573,142
学03,渋谷駅前～日赤医療センター前,401562,367938,33624,992,7408,92
都04,豊海水産埠頭～東京駅丸の内南口,493201,452305,40896,1224,7392,92
都05,晴海埠頭～東京駅丸の内南口,805990,801836,4154,1973,11718,99
学05,目白駅前～日本女子大前,88674,105828,-17153,282,2427,119
急行05,錦糸町駅前～日本科学未来館,76009,70467,5542,576,3618,93
都06,渋谷駅前～新橋駅前,757847,703961,53886,1830,11178,93
学06,恵比寿駅前～日赤医療センター前,179603,144754,34849,449,3276,81
都07,錦糸町駅前～門前仲町,1220781,926220,294562,3081,20959,76
学07,東大構内～御茶ノ水駅前,79464,105846,-26382,188,1226,133
都08,日暮里駅前～錦糸町駅前,675040,616805,58235,1670,10927,91
業10,新橋～とうきょうスカイツリー駅前,921554,925794,-4240,2259,14587,100
木11,木場駅前～（東京ﾍﾘﾎﾟｰﾄ・新木場三丁目循環）～東陽町駅前　　　　　　　　　　　　　　,375288,439770,-64481,893,5433,117
錦11,錦糸町駅前～築地駅前,117021,147784,-30763,278,1757,126
錦13,錦糸町駅前～晴海埠頭,627495,699642,-72146,1503,9817,111
東15,深川車庫前～東京駅八重洲口,258388,258482,-93,634,3894,100
東16,東京駅八重洲口～東京ビッグサイト,694433,612387,82045,1720,10273,88
錦18,錦糸町駅前～新木場駅前,128302,115491,12811,475,3055,90
門19,深川車庫前～門前仲町,185393,219161,-33768,447,2856,118
新小20,東新小岩四丁目～一之江駅前,32945,49557,-16612,76,481,150
西葛20,西葛西駅前～なぎさニュータウン,331535,366355,-34819,805,5326,111
東20,東京駅丸の内北口～錦糸町駅前,101539,148036,-46497,235,1501,146
陽20,東陽町駅前～東大島駅前　　　　　　　　　　　　　　,39032,50660,-11628,93,625,130
葛西21,葛西駅前～葛西臨海公園駅前,320581,298446,22135,795,5176,93
亀21,東陽町駅前～亀戸駅前,314291,300193,14098,778,5260,96
新小21,西葛西駅前～新小岩駅前,810003,610268,199735,2047,13757,75
門21,東大島駅前～門前仲町,130557,176765,-46208,307,2059,135
葛西22,葛西駅前～一之江駅前,65036,105866,-40830,148,984,163
里22,日暮里駅前～亀戸駅前,476610,446530,30080,1176,7812,94
新小22,葛西駅前～新小岩駅前,514990,466237,48753,1280,8409,91
錦22,臨海車庫～錦糸町駅前,80076,92987,-12912,194,1285,116
東22,錦糸町駅前～東京駅丸の内北口,1081304,723488,357816,2757,17882,67
臨海22,臨海車庫～船堀駅前,34134,47622,-13487,80,538,140
上23,平井駅前～上野松坂屋前,330061,375427,-45366,798,5276,114
亀23,亀戸駅前～（江東高齢者医療センター循環）～亀戸駅前,118954,138907,-19953,287,1916,117
平23,葛西駅前～平井駅前,132092,179232,-47140,311,2090,136
葛西24,船堀駅前～なぎさニュータウン,230942,239269,-8327,564,3756,104
亀24,葛西橋～亀戸駅前,298072,299978,-1907,733,5000,101
草24,東大島駅前～浅草寿町,125951,166833,-40881,297,2013,132
錦25,葛西駅前～錦糸町駅前,914853,789643,125210,2286,15748,86
秋26,葛西駅前～秋葉原駅前,336042,357609,-21567,814,5441,106
上26,亀戸駅前～上野公園,125129,185881,-60753,291,1920,149
亀26,今井～亀戸駅前,195880,203210,-7330,479,3242,104
西葛26,船堀駅前～葛西臨海公園駅前,60058,80242,-20184,142,938,134
西葛27,西葛西駅前～臨海町二丁目団地前,255860,243546,12314,632,4149,95
錦27,小岩駅前～両国駅前,302087,322474,-20387,737,5042,107
錦28,東大島駅前～錦糸町駅前,286802,248997,37805,715,4853,87
平28,東大島駅前～（平井駅前循環）～東大島駅前,89518,96542,-7024,218,1431,108
船28,船堀駅前～篠崎駅前,31014,52903,-21889,70,465,171
両28,葛西橋～両国駅前,180895,231192,-50297,430,2899,128
臨海28,一之江橋西詰～葛西臨海公園駅前,563559,572766,-9207,1385,8946,102
亀29,なぎさニュータウン～亀戸駅前,415668,420288,-4620,1021,7058,101
新小29,葛西駅前～東新小岩四丁目,343528,358030,-14502,838,5458,104
門33,亀戸駅前～豊海水産埠頭,486249,434548,51701,1212,8146,89
錦37,青戸車庫前～錦糸町駅前,265422,299693,-34271,642,4270,113
草39,金町駅前～上野松坂屋前,288828,323634,-34806,697,4572,112
王40,池袋駅東口～西新井駅前,1324430,1256524,67905,3274,20901,95
錦40,南千住駅東口～錦糸町駅前,42996,55846,-12850,102,674,130
王41,王子駅前～新田一丁目,208993,244042,-35049,503,3196,117
草41,足立梅田町～浅草寿町,330842,352342,-21500,803,5264,106
東42,南千住車庫前～東京駅八重洲口,500525,504239,-3714,1224,7849,101
草43,足立区役所～浅草雷門,124483,158851,-34368,296,1966,128
東43,荒川土手操車所前～東京駅丸の内北口,505014,550678,-45664,1227,7678,109
端44,北千住駅前～駒込病院前,391207,364682,26525,967,6023,93
王45,王子駅前～北千住駅前,107878,105262,2616,266,1672,98
上46,南千住駅東口～上野松坂屋前,396379,382245,14134,975,6464,96
北47,足立清掃工場前～北千住駅前,599406,453803,145603,1517,9511,76
里48,日暮里駅前～見沼代親水公園駅前,84109,204006,-119897,172,1090,243
王49,千住車庫前～王子駅前,346515,426915,-80400,830,5371,123
茶51,駒込駅南口～秋葉原駅前,162773,172848,-10075,396,2433,106
王55,王子駅前～新田一丁目,376680,371904,4776,926,5845,99
