区間,営業キロ（km）,開業年月日
巣鴨～高島平,10.4,1968/12/27
日比谷～巣鴨,7.3,1972/6/30
三田～日比谷,3.3,1973/11/27
高島平～西高島平,1.5,1976/5/6
目黒～三田,4.0,2000/9/26
営業キロ計,26.5,
