配置,施設名,設置場所,営業時間・利用時間,サイズ・口数（コインロッカー）,座席,電話番号,ホームページ,PASMO対応,備考
A,ドトールコーヒーショップ（喫茶）,B1階改札外コンコース（千代田線・東西線方面　改札付近）,【平日】6時30分から21時まで【土曜】8時から19時まで【日曜・祝日】8時から19時まで,,32席,03-5220-2328,http://www.doutor.co.jp/,○,
B,コインロッカー,B1階改札外コンコース（D3出口方改札付近）,,【大型】7口【中型】7口【標準】8口【ハーフ】10口,,,,○,★宅配受取サービス（利用時間：5時から24時まで）
C,証明写真機,B1階改札外コンコース（D3出口方改札付近）,,,,,,,
D,ATM（セブン銀行）,B1階改札外コンコース（千代田線・東西線方面　改札付近）,【全日】5時から24時まで,,,,,,
E,ATM（みずほ銀行）,B1階改札外コンコース（千代田線・東西線方面　改札付近）,【月曜】7時から24時まで【火曜～金曜】5時から24時まで【土曜】5時から22時まで【日曜】8時から21時まで【祝日】当該曜日営業時間,,,,,,
