配置,施設名,設置場所,営業時間・利用時間,サイズ・口数（コインロッカー）,座席,電話番号,ホームページ,PASMO対応,備考
A,コインロッカー,B1階改札外コンコース（しのばずの池方面改札付近）,,【中型】3口【標準】15口,,,,,
B,コインロッカー,B1階改札外コンコース（A5出口付近）,,【中型】3口【標準】15口,,,,,
C,コインロッカー,B1階改札外コンコース（JR御徒町駅方面改札付近）,,【大型】6口【中型】3口【標準】6口,,,,○,
D,証明写真機,B1階改札外コンコース（日比谷線仲御徒町駅方）  ,,,,,,,
E,ATM（セブン銀行）,B1階改札外コンコース（JR御徒町駅方面改札付近）,【全日】5時から24時まで,,,,,,
F,ATM（みずほ銀行）,B1階改札外コンコース（JR御徒町駅方面改札付近）,【月曜】7時から24時まで【火曜～金曜】5時から24時まで【土曜】5時から22時まで【日曜】8時から21時まで【祝日】当該曜日営業時間,,,,,,
G,期間限定ショップ（ワゴン販売）,B1階改札外コンコース（JR御徒町駅方面改札付近）,,,,,,,週替わりで和菓子、洋菓子、雑貨など様々な商品を販売。出店スケジュール（https://www.tkk.or.jp/enterprise/station/ueno-okachimachi/）
H,ベビーカーレンタルサービス（ベビカル）,B1階改札外コンコース（JR御徒町駅方面改札付近）,【全日】8時から21時まで,,,,,,
I,外貨両替機,B1階改札外コンコース（JR御徒町駅方面改札付近）,【全日】5時から24時まで,,,,,,
J,モバイルバッテリースタンド（Charge SPOT）,B1階改札外コンコース（JR御徒町駅方面改札付近）,,,,,,,
K,育児用品自動販売機,B1階改札外コンコース（JR御徒町駅方面改札付近）,,,,,,,ベビー用紙おむつ、おしりふき、飲料（乳児用液体ミルクなど）を販売
L,鍵受渡ロッカー（KEYSTATION）,B1階改札外コンコース（JR御徒町駅方面改札付近）,【全日】5時から24時まで,,,,,,
