区市,発売所,所在地,電話,営業時間,休業日,地図
台東区,都営地下鉄上野御徒町駅,都営大江戸線上野御徒町駅構内 定期券発売所,03-3837-8115,8:00～20:00,無休,https://www.kotsu.metro.tokyo.jp/subway/stations/ueno-okachimachi.html
台東区,都営地下鉄浅草橋駅,都営浅草線浅草橋駅構内 定期券発売所,03-3866-8429,8:00～20:00,無休,https://www.kotsu.metro.tokyo.jp/subway/stations/asakusabashi.html
荒川区,日暮里・舎人ライナー日暮里駅,日暮里・舎人ライナー日暮里駅構内 定期券発売所,03-5837-2642,8:00～20:00,無休,https://www.kotsu.metro.tokyo.jp/toden/branch/branch_s02.html
荒川区,都営バス南千住営業所,荒川区南千住2-33-1 都営バス「南千住車庫」すぐ,03-3802-0391,7:00～20:00,無休,http://www.kotsu.metro.tokyo.jp/bus/branch/map/eigyo_minasen.html
荒川区,都電荒川営業所,荒川区西尾久8-33-7 都電「荒川車庫前」すぐ,03-3893-7451,7:00～19:00,無休,https://www.kotsu.metro.tokyo.jp/toden/branch/branch_s03.html
