配置,施設名,設置場所,営業時間・利用時間,サイズ・口数（コインロッカー）,座席,電話番号,ホームページ,PASMO対応,備考
A,比沙家（やきぐり販売）,B1階改札内コンコース,【平日】10時から21時まで【土曜】10時から20時まで【日曜・祝日】休業,,,0120-689-890,http://kyo-yakiguri.com/,○,
B,コインロッカー,B1階改札外コンコース（A6出口付近）,,【大型】4口【中型】4口【標準】5口,,,,○,
C,コインロッカー,B1階改札外コンコース（A4出口付近）,,【中型】3口【標準】10口,,,,,
D,証明写真機,B1階改札外コンコース（A3出口付近）,,,,,,,
E,ATM（セブン銀行）,B1階改札外コンコース（A3出口付近）,【全日】5時から24時まで,,,,,,
F,ATM（りそな銀行）,B1階改札外コンコース（A3出口付近）,【全日】5時から24時まで ※毎月第二土曜日23時から翌日8時まではご利用になれません。,,,,,,
G,モバイルバッテリースタンド（充レン）,B1階改札内コンコース,,,,,,,
