,大人,小児
1キロから4キロまで,1800,900
5キロから9キロまで,2200,1100
10キロから15キロまで,2800,1400
16キロから21キロまで,3300,1700
22キロから27キロまで,3800,1900
28キロから46キロまで,4300,2200
