配置,施設名,設置場所,営業時間・利用時間,サイズ・口数（コインロッカー）,座席,電話番号,ホームページ,PASMO対応,備考
A,ローソン（コンビニ）,1階改札外コンコース（改札口正面）,【全日】6時から24時30分まで,,,03-3680-6410,https://www.lawson.co.jp/,◯,
B,コインロッカー,1階改札外コンコース（改札前）,,【標準】12口,,,,,
C,ATM（千葉銀行）,1階改札外コンコース（北口付近）,【全日】8時から21時まで,,,,,,
D,期間限定ショップ（ワゴン販売）,1階改札外コンコース（改札口正面）,,,,,,,週替わりで食料品、和菓子など様々な商品を販売。出店予定スケジュール（https://www.tkk.or.jp/enterprise/station/shinjuku-funabori/）
