車両名,内容,導入開始年,在庫車両数（両）
CNG（圧縮天然ガス）バス,燃料に圧縮天然ガスを使用。黒煙は排出されず、窒素酸化物も大幅に削減,平成6年12月,平成29年末で全車両廃車
アイドリング・ストップ&スタート装置付バス,バスの停止・発進に合わせエンジンの自動停止・再スタートを行う,平成6年1月,1346
新長期規制バス,平成17年 排出ガス規制（新長期規制）対応,平成17年11月,133
新長期規制ハイブリッドバス,平成17年 排出ガス規制（新長期規制）対応,平成19年10月,71
ポスト新長期規制バス,平成21年 排出ガス規制（ポスト新長期規制）対応,平成22年10月,452
ポスト新長期規制ハイブリッドバス,平成21年 排出ガス規制（ポスト新長期規制）対応,平成22年9月,28
平成28年規制バス,平成28年 排出ガス規制対応,平成29年11月,691
