駅名,一日平均乗車人員,一日平均降車人員
西馬込,19954,19348
馬込,12012,11515
中延,12318,12099
戸越,9370,8921
五反田,26117,26534
高輪台,5929,6181
泉岳寺,85189,85482
三田,42913,43217
大門,40908,41175
新橋,35692,35684
東銀座,33364,34345
宝町,12340,12769
日本橋,38860,39253
人形町,22820,22315
東日本橋,33991,33905
浅草橋,25715,25113
蔵前,16910,16632
浅草,21373,24603
本所吾妻橋,8936,8618
押上,95342,92347
計20駅,600055,600055
