配置,施設名,設置場所,営業時間・利用時間,サイズ・口数（コインロッカー）,座席,電話番号,ホームページ,PASMO対応,備考
A,コインロッカー,B1階改札外コンコース（改札付近）,,【大型】5口【中型】5口【標準】6口,,,,◯,★宅配受取サービス（利用時間：5時から24時まで）
B,証明写真機,B1階改札外コンコース（改札付近）,,,,,,,
C,ATM（みずほ銀行）,B1階改札外コンコース（有楽町線月島駅方）,【月曜】7時から24時まで【火曜?金曜】5時から24時まで【土曜】5時から22時まで【日曜】8時から21時まで【祝日】当該曜日営業時間,,,,,,
D,ATM（セブン銀行）,B1階改札外コンコース（有楽町線月島駅方）,【全日】5時から24時まで,,,,,,
E,ATM（りそな銀行）,B1階改札外コンコース（改札付近）,【全日】5時から24時まで,,,,,,※毎月第二土曜日23時から翌日8時はご利用になれません。
F,期間限定ショップ（ワゴン販売）,B1階改札外コンコース（有楽町線月島駅方）,,,,,,,週替わりで和菓子、洋菓子、雑貨など様々な商品を販売。出店予定スケジュール（https://www.tkk.or.jp/enterprise/station/oedo-tsukishima/）
G,鍵受渡ロッカー（KEYSTATION）,B1階改札外コンコース（改札付近）,【全日】5時から24時まで,,,,,,
