配置,施設名,設置場所,営業時間・利用時間,サイズ・口数（コインロッカー）,座席,電話番号,ホームページ,PASMO対応,備考
A,フラワーショップ花遊人（生花店）,B1階改札外コンコース（改札前）,【全日】10時から19時まで,,,03-3681-8739（大島本店）,,,
B,コインロッカー,B1階改札外コンコース（改札横）,,【大型】2口【中型】2口【標準】13口,,,,◯,★宅配受取サービス（利用時間：5時から24時まで）
C,ATM（セブン銀行）,B1階改札外コンコース（改札横）,【全日】5時から24時まで,,,,,,
