区市,発売所,シルバーパス（磁気券）,都営バスグッズ
千代田区,東京駅丸の内南口発売所,〇,〇
千代田区,都営地下鉄神保町駅▲,〇,×
港区,品川駅港南口発売所,〇,〇
港区,都営バス港南支所,〇,〇
品川区,都営地下鉄三田駅▲,〇,×
品川区,都営バス品川営業所,〇,〇
品川区,都営地下鉄五反田駅▲,〇,×
