配置,施設名,設置場所,営業時間・利用時間,サイズ・口数（コインロッカー）,座席,電話番号,ホームページ,PASMO対応,備考
A,カレーショップC＆C,B1階改札外コンコース（2出口付近）,【平日】7時から22時30分まで【土曜・日曜・祝日】8時から21時まで,,,03-5321-3300,http://www.curry-cc.jp/,○,
B,コインロッカー,B1階改札外コンコース（4出口付近）,【大型】3口【中型】3口【標準】4口,,,,,○,
C,コインロッカー,B2階改札内コンコース（A1出口方駅務室横）,,【標準】20口,,,,,
D,証明写真機,B2階改札外コンコース（A1出口方改札付近）,,,,,,,
E,ATM（みずほ銀行）,B1階改札外コンコース（4出口付近）,【月曜】7時から23時まで【火曜～金曜】6時から23時まで【土曜】6時から22時まで【日曜】8時から21時まで【祝日】当該曜日営業時間,,,,,,
