注文日（Date）,品名（Name of Item）,数量（Quantity）,単位（Unit）,安全注釈リストの分類（Classification）1,安全注釈リストの分類（Classification）2,安全注釈リストの分類（Classification）3,契約相手先（Contractor）,手続(注）（Procedure）
2017/10/2,車両更新修繕,2,編成,車両および車両産品,車両,鉄道用の客車及び貨車,京王重機整備株式会社,有
2017/10/4,駅放送装置改修,1,式,鉄道施設を構成する産品,運転保安設備,鉄道の信号用、安全用又は交通管制用の電気、並びに機械式機器(電気機械式を含む）,株式会社ＪＶＣケンウッド・公共産業システム,無
2017/10/11,伝送装置修繕,9,編成,車両および車両産品,車両産品,鉄道用の機関車又は車両用の部分品,株式会社日立製作所,無
2017/10/11,運行制御装置修繕,4,編成,車両および車両産品,車両産品,鉄道用の機関車又は車両用の部分品,株式会社日立製作所,無
2017/10/13,車輌制御装置修繕,5,編成,車両および車両産品,車両産品,鉄道用の機関車又は車両用の部分品,東芝トランスポートエンジニアリング株式会社,無
2017/10/18,車輪,1,式,車両および車両産品,車両産品,鉄道用の機関車又は車両用の部分品,住友商事株式会社,無
2017/10/19,駅列車制御装置更新,1,式,鉄道施設を構成する産品,運転保安設備,鉄道の信号用、安全用又は交通管制用の電気、並びに機械式機器(電気機械式を含む）,株式会社京三製作所,無
2017/10/27,車両用伝送端末更新,5,編成,車両および車両産品,車両産品,鉄道用の機関車又は車両用の部分品,株式会社日立製作所,無
2017/10/31,可動式ホーム柵部品交換,1,式,鉄道施設を構成する産品,運転保安設備,鉄道の信号用、安全用又は交通管制用の電気、並びに機械式機器(電気機械式を含む）,日本信号株式会社,無
2017/11/27,車輪転削盤製造,1,式,車両および車両産品,車両産品,鉄道用の機関車又は車両用の部分品,川重商事株式会社,無
2017/12/5,電車両,192,両,車両および車両産品,車両,鉄道用の客車及び貨車,株式会社総合車両製作所,有
2017/12/8,制御装置試験器製造,1,式,車両および車両産品,車両産品,鉄道用の機関車又は車両用の部分品,株式会社日立製作所,無
2017/12/13,列車制御装置改修,28,編成,車両および車両産品,車両産品,鉄道用の機関車又は車両用の部分品,株式会社菱交,無
2017/12/25,継電連動装置更新,1,式,鉄道施設を構成する産品,運転保安設備,鉄道の信号用、安全用又は交通管制用の電気、並びに機械式機器(電気機械式を含む）,株式会社京三製作所,有
2017/12/25,電車両,2,編成,車両および車両産品,車両,鉄道用の客車及び貨車,三菱重工業株式会社,有
2018/2/2,通信設備更新,1,式,鉄道施設を構成する産品,運転保安設備,鉄道の信号用、安全用又は交通管制用の電気、並びに機械式機器(電気機械式を含む）,日本電気株式会社,無
2018/2/2,通信設備製造,1,式,鉄道施設を構成する産品,運転保安設備,鉄道の信号用、安全用又は交通管制用の電気、並びに機械式機器(電気機械式を含む）,日本電気株式会社,無
2018/2/2,車輪,1,式,車両および車両産品,車両産品,鉄道用の機関車又は車両用の部分品,住友商事株式会社,無
2018/2/9,駅設備監視装置更新,1,式,鉄道施設を構成する産品,停車場,鉄道の信号用、安全用又は交通管制用の電気、並びに機械式機器(電気機械式を含む）,アズビル株式会社,有
2018/2/13,変電設備部品交換,1,式,鉄道施設を構成する産品,変電所等設備,発変電設備及びその構成産品,株式会社日立製作所,無
