駅名,一日平均乗車人員,一日平均降車人員
新宿西口,24207,22538
東新宿,15848,15581
若松河田,13197,13368
牛込柳町,9545,9281
牛込神楽坂,6048,6383
飯田橋,12380,12364
春日,26512,25784
本郷三丁目,9073,9316
上野御徒町,23633,23582
新御徒町,24572,23674
蔵前,14580,14989
両国,14307,14090
森下,28474,27443
清澄白河,17307,17512
門前仲町,34372,34224
月島,29453,29554
勝どき,37346,37430
築地市場,9438,10182
汐留,13433,13770
大門,47086,47109
赤羽橋,14998,14898
麻布十番,14132,13950
六本木,34991,35831
青山一丁目,28248,27702
国立競技場,5228,5196
代々木,13776,13852
新宿,52782,55676
都庁前,19317,20640
西新宿五丁目,13954,13382
中野坂上,17353,17530
東中野,11255,11587
中井,11356,10830
落合南長崎,12381,12136
新江古田,13177,12911
練馬,34840,34671
豊島園,4914,4784
練馬春日町,10394,10279
光が丘,26478,26353
計38駅,750383,750383
