水車,"立軸フランシス水車　出力 10,000キロワット 2台"
発電機,"立軸三相同期発電機　出力 10,000キロボルトアンペア　電圧 11,000ボルト 2台"
主要変圧器,"三相内鉄型　屋外油入自冷式　容量 10,000キロボルトアンペア 2台"
主要遮断器,ガス遮断器　電圧 84キロボルト　電流 800アンペア　遮断電流 25キロアンペア 2台
送電系統,多摩川線　電圧 66キロボルト
