区市,発売所,フリーカード（IC）,フリーカード（磁気券）,学バス（磁気券）,多摩地域（磁気券）,都電連絡（IC）,都電連絡（磁気券）,地下鉄連絡（IC・磁気券）,ライナー連絡（IC・磁気券）,他社との共通（磁気券）
足立区,都営バス千住営業所,〇,〇,〇,×,〇,〇,×,×,×
足立区,西新井駅前発売所,〇,〇,〇,×,〇,〇,×,×,×
葛飾区,都営バス青戸支所,〇,〇,〇,×,〇,〇,×,×,×
