輸送システム,側方案内軌条式新交通システム（コンピュータ制御による自動運転）
（内訳、定員）,300形・80両（5両×16編成）、245人／編成
（内訳、定員）,320形・5両（5両×1編成）、259人／編成
（内訳、定員）,330形・15両（5両×3編成）、262人／編成
