営業キロ（km）,765.7
系統数,128
系統総長（km）,1070.9
平均系統長（km）,8.4
停留所数,"1,552か所（ポール数3,831本）"
車両数（両） ※1,1448
平均定員（人） ※2,76
平均時速（km／h） ※2,10.5
営業所数,12か所 他支所7か所
