配置,施設名,設置場所,営業時間・利用時間,サイズ・口数（コインロッカー）,座席,電話番号,ホームページ,PASMO対応,備考
A,ヴィ・ド・フランスカフェ（喫茶・軽飲食）,B1階改札外コンコース（有楽町線・南北線方 改札付近）,【平日】7時から21時まで【土曜】7時から19時まで【日曜・祝日】休業,,,03-5212-5039,https://www.viedefrance.co.jp/,○,
B,リフレッシュサロンラフィネ（リラクゼーション）,B1階改札外コンコース（有楽町線・南北線方 改札付近）,【平日】11時から21時まで【土曜】11時から20時まで【日・祝日】11時から20時まで,,,03-3556-9291,http://www.bodywork.co.jp/,○,
C,ミスターミニット（靴修理・鍵複製）,B1階改札外コンコース（有楽町線・南北線方 改札付近）,【平日】8時30分から20時まで【土曜】10時から14時まで、15時から16時30分まで、17時から19時まで【日曜・祝日】休業,,,03-5211-5157,,○,
D,コインロッカー,B1階改札外コンコース（定期券発売所付近）,,※1【中型】3口【標準】11口,,,,○,★宅配受取サービス（利用時間：5時から24時まで）
E,コインロッカー,B1階改札外コンコース（A4出口付近）,,※2【大型】4口【中型】4口【標準】5口,,,,,
F,証明写真機,B1階改札外コンコース（A4出口付近）,,,,,,,
G,ATM（みずほ銀行）,B1階改札外コンコース（有楽町線・南北線方 改札付近）,【月曜】7時から24時まで【火曜～金曜】5時から24時まで【土曜】5時から22時まで【日曜】8時から21時まで【祝日】当該曜日営業時間,,,,,,
H,ATM（セブン銀行）,B1階改札外コンコース（定期券発売所付近）,【全日】5時から24時まで,,,,,,
I,期間限定ショップ（ワゴン販売）,B1階改札外コンコース（有楽町線・南北線方 改札付近）,,,,,,,週替わりで和菓子、洋菓子、雑貨など様々な商品を販売。出店予定スケジュール（https://www.tkk.or.jp/enterprise/station/shinjuku-ichigaya/）
