配置,施設名,設置場所,営業時間・利用時間,サイズ・口数（コインロッカー）,座席,電話番号,ホームページ,PASMO対応,備考
A,ファミリーマート（ミニ・コンビニ）,B1階改札外コンコース（A1出口方）,【全日】7時から23時まで,,,03-5919-2037,http://www.family.co.jp/,○,
B,コインロッカー,B1階改札外コンコース（A2出口付近）,,【中型】3口【標準】20口,,,,,
C,証明写真機,B1階改札外コンコース（A1・A2出口方改札横）,,,,,,,
D,ATM（セブン銀行）,B1階改札外コンコース（A1・A2出口方改札横）,【全日】5時から24時まで,,,,,,
