区市,発売所,所在地,電話,営業時間,休業日,地図
千代田区,東京駅丸の内南口発売所,千代田区丸の内1-9-1 東京駅丸の内南口ターミナル内,03-3212-8685,8:00～19:00,土・日・祝,https://www.kotsu.metro.tokyo.jp/bus/noriba/tokyo/map.html
千代田区,都営地下鉄神保町駅,都営三田線神保町駅構内 定期券発売所,03-3234-5752,8:00～20:00,土・日・祝,https://www.kotsu.metro.tokyo.jp/subway/stations/jimbocho.html#solid
港区,品川駅港南口発売所,港区港南2-14 品川駅港南口ターミナル内,03-3458-0368,10:00～19:00,土・日・祝,https://www.kotsu.metro.tokyo.jp/bus/noriba/shinagawa/map.html
港区,都営バス港南支所,港区港南4-7-1 都営バス「港南四丁目」徒歩2分,03-5461-3480,7:00～20:00,無休,https://www.kotsu.metro.tokyo.jp/bus/branch/map/eigyo_kounan.html
港区,都営地下鉄三田駅,都営三田線三田駅構内 定期券発売所,03-3451-0420,8:00～20:00,土・日・祝,https://www.kotsu.metro.tokyo.jp/subway/stations/mita.html#solid
品川区,都営バス品川営業所,品川区北品川1-5-12 都営バス「品川車庫」すぐ,03-3471-3046,7:00～20:00,無休,https://www.kotsu.metro.tokyo.jp/bus/branch/map/eigyo_shina.html
品川区,都営地下鉄五反田駅,都営浅草線五反田駅構内 定期券発売所,03-3449-5074,8:00～20:00,無休,https://www.kotsu.metro.tokyo.jp/subway/stations/gotanda.html#solid
