区市,発売所,都営まるごときっぷ（IC）,都営まるごときっぷ（磁気券）,都営バス一日券（磁気券）
台東区,都営地下鉄上野御徒町駅▲,〇,〇,×
台東区,都営地下鉄浅草橋駅▲,◇,〇,×
荒川区,日暮里・舎人ライナー日暮里駅▲,◇,〇,×
荒川区,都営バス南千住営業所,×,〇,〇
荒川区,都電荒川営業所◆,×,〇,×
