配置,施設名,設置場所,営業時間・利用時間,サイズ・口数（コインロッカー）,座席,電話番号,ホームページ,PASMO対応,備考
A,ファミリーマート（コンビニ）,B2階改札外コンコース（千代田線乗換方面）,【全日】7時から23時まで,,,03-5289-3100,http://www.family.co.jp/,○,
B,コインロッカー,B2階改札外コンコース（千代田線乗換方面）,,※1【中型】3口【標準】10口,,,,,
C,コインロッカー,B2階改札外コンコース（駅務室横）,,※2【大型】5口【中型】5口【標準】11口,,,,○,★宅配受取サービス（利用時間：5時から24時まで）
D,証明写真機,B2階改札外コンコース（千代田線乗換方面　改札横）,,,,,,,
E,ATM（セブン銀行）,B2階改札外コンコース（千代田線乗換方面　改札横）,【全日】5時から24時まで,,,,,,
F,ATM（みずほ銀行）,B2階改札外コンコース（千代田線乗換方面　改札横）,【月曜】7時から24時まで【火曜～金曜】5時から24時まで【土曜】5時から22時まで【日曜】8時から21時まで【祝日】当該曜日営業時間,,,,,,
G,期間限定ショップ（ワゴン販売）,B2階改札外コンコース（千代田線乗換方面）,,,,,,,週替わりで和菓子、洋菓子、雑貨など様々な商品を販売。出店予定スケジュール（https://www.tkk.or.jp/enterprise/station/shinjuku-ogawamachi/）
