,浅草線,三田線,新宿線,大江戸線
営業区間,西馬込～押上,目黒～西高島平※3,新宿～本八幡,都庁前～光が丘
営業キロ（うち地上部分）,18.3,26.5（5.1）,23.5（2.5）,40.7
駅数（うち地上駅）,20駅,27駅（6駅）,21駅（2駅）,38駅
