配置,施設名,設置場所,営業時間・利用時間,サイズ・口数（コインロッカー）,座席,電話番号,ホームページ,PASMO対応,備考
A,ファミリーマート（ミニ・コンビニ）,B3階改札外コンコース（JR新宿駅方面改札付近）,【全日】7時から23時まで,,,03-5338-1277,http://www.family.co.jp/,○,
B,コインロッカー,B1階改札外コンコース（D2出口付近）,※2【大型】7口【中型】7口【標準】13口,,,,,○,★宅配受取サービス（利用時間：5時から24時まで）
C,コインロッカー,B3階改札外コンコース（駅務室横）,※1【中型】3口【標準】11口,,,,,○,
D,コインロッカー,B3階改札外コンコース（D5出口方）,※1【標準】20口,,,,,,
E,証明写真機,B1階改札外コンコース（D1出口付近）,,,,,,,
F,ATM（みずほ銀行）,B1階改札外コンコース（D1出口付近）,【月曜】7時から24時まで【火曜～金曜】5時から24時まで【土曜】5時から22時まで【日曜】8時から21時まで【祝日】当該曜日営業時間,,,,,,
G,ATM（ゆうちょ銀行）,B1階改札外コンコース（D1出口付近）,【平日】8時から23時まで【土曜】8時から21時まで【日曜・祝日】8時から21時まで,,,,,,
H,ATM（セブン銀行）,B1階改札外コンコース（D1出口付近）,【全日】5時から24時まで,,,,,,
I,期間限定ショップ（ワゴン販売）,B3階改札外コンコース（JR新宿駅方面改札付近）,,,,,,,週替わりで和菓子、洋菓子、雑貨など様々な商品を販売。出店予定スケジュール（https://www.tkk.or.jp/enterprise/station/oedo-shinjuku-nishiguchi/）
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
