注文日（Date）,品名（Name of Item）,数量（Quantity）,単位（Unit）,安全注釈リストの分類（Classification）1,安全注釈リストの分類（Classification）2,安全注釈リストの分類（Classification）3,契約相手先（Contractor）,手続(注）（Procedure）
2015/4/1,車両修繕,5,編成,車両および車両産品,車両,鉄道用の機関車又は車両用の部分品,株式会社京急ファインテック,有
2015/4/1,車両冷房装置,5,編成,車両および車両産品,車両産品,鉄道用の機関車又は車両用の部分品,京王重機整備株式会社,有
2015/4/1,車両添削修繕,1264,両,車両および車両産品,車両産品,鉄道用の機関車又は車両用の部分品,京王重機整備株式会社,有
2015/4/1,車両モータ修繕,96,台,車両および車両産品,車両産品,鉄道用の機関車又は車両用の部分品,東芝トランスポートエンジニアリング株式,会 無
2015/4/15,ホームドア対応車両改修 ,8,編成,車両および車両産品,車両,鉄道用の機関車又は車両用の部分品,株式会社総合車両製作所,無
2015/4/15,車内案内表示装置改修,3,編成,車両および車両産品,車両,鉄道用の機関車又は車両用の部分品,株式会社総合車両製作所,無
2015/5/12,レール,11400,m,鉄道施設を構成する産品,鉄道線路,レールその他軌道の構成産品、レールの接続又は取付けに専ら使用する産品,日鉄住金物産株式会社,有
2015/5/13,電車両,4,編成,車両および車両産品,車両,鉄道用の客車及び貨車,株式会社総合車両製作所 ,有
2015/6/2,電車両,1,編成,車両および車両産品,車両,鉄道用の客車及び貨車,新潟トランシス株式会社,有
2015/6/8,可動式ホーム柵部品交換,1,式,鉄道施設を構成する産品,運転保安設備,鉄道の信号用、安全用又は交通管制用の電気、並びに機械式機器(電気機械式を含む）,八洲電機株式会社,無
2015/6/10,軸バネほか,1,式,車両および車両産品,車両産品,鉄道用の機関車又は車両用の部分品,住友商事株式会社,無
2015/7/10,列車定位置停止装置,20,駅,鉄道施設を構成する産品,運転保安設備,鉄道の信号用、安全用又は交通管制用の電気、並びに機械式機器(電気機械式を含む）,日本信号株式会社,有
2015/7/23,旅客案内表示器部品交換,38,台,鉄道施設を構成する産品,運転保安設備,鉄道の信号用、安全用又は交通管制用の電気、並びに機械式機器(電気機械式を含む）,パナソニックシステムネットワークス株式,会 有
2015/7/30,車輪,796,枚,車両および車両産品,車両産品,鉄道用の機関車又は車両用の部分品,住友商事株式会社,  無
2015/8/4,車両冷房装置,4,編成,車両および車両産品,車両産品,鉄道用の機関車又は車両用の部分品,株式会社菱交,有
2015/8/10,車庫制御情報送信装置,1,式,鉄道施設を構成する産品,運転保安設備,鉄道の信号用、安全用又は交通管制用の電気、並びに機械式機器(電気機械式を含む）,株式会社京三製作所,有
2015/9/2,変電所受変電設備,2,箇所,鉄道施設を構成する産品,変電所等設備,送電設備及びその構成産品,株式会社東芝,無
2015/9/3,駅機械設備分解整備,28,駅,鉄道施設を構成する産品,停車場,鉄道施設に使用する換気設備,協立機電工業株式会社,  有
2015/9/3,駅放送装置,26,駅,鉄道施設を構成する産品,停車場,鉄道の信号用、安全用又は交通管制用の電気、並びに機械式機器(電気機械式を含む）,株式会社ＪＶＣケンウッド,有
2015/9/24,変電所受変電設備,1,箇所,鉄道施設を構成する産品,変電所等設備,送電設備及びその構成産品,三菱電機株式会社,無
2015/9/25,運転保安設備部品交換,10,箇所,鉄道施設を構成する産品,運転保安設備,鉄道の信号用、安全用又は交通管制用の電気、並びに機械式機器(電気機械式を含む）,株式会社日立製作所,無
2015/9/25,列車運行制御装置改修,1,式,鉄道施設を構成する産品,運転保安設備,鉄道の信号用、安全用又は交通管制用の電気、並びに機械式機器(電気機械式を含む）,株式会社日立製作所,無
