在籍車両数,33両
（内訳）,7700形　8両（定員62人）
（内訳）,8500形　5両（定員65人）
（内訳）,8800形　10両（定員61人）
（内訳）,8900形　8両（定員62人）
（内訳）,9000形　2両（定員64人）
