配置,施設名,設置場所,営業時間・利用時間,サイズ・口数（コインロッカー）,座席,電話番号,ホームページ,PASMO対応,備考
A,トロア（パン・スープ・飲料等）,浅草線B1階改札外コンコース（A6出口方EV付近）,令和4年7月1日から当面の間【平日】8時から12時まで【土曜】休業【日曜・祝日】休業,,,03-5776-0113,http://www.minato-jigyodan.org/cat07/trois.html,○,
B,コインロッカー,浅草線B1階改札外コンコース（A6出口付近）,,※2【大型】3口【中型】3口【標準】9口,,,,○,★宅配受取サービス（利用時間：5時から24時まで）
C,コインロッカー,浅草線B1階改札外コンコース（A2出口方）,,※1【標準】20口,,,,,
D,コインロッカー,大江戸線B3階改札外コンコース（B4出口付近EV前）,,※2【大型】3口【中型】1口【標準】2口,,,,○,
E,コインロッカー,大江戸線B3階改札外コンコース（駅務室前）,,※1【大型】7口【中型】7口【標準】8口,,,,○,
F,コインロッカー,大江戸線B3階改札内コンコース,,※1【中型】3口【標準】15口,,,,,
G,証明写真機,大江戸線B3階改札外コンコース（B4出口付近EV前）,,,,,,,
H,証明写真機,浅草線B1階改札外コンコース（A6出口方EV横）,,,,,,,
I,ATM（みずほ銀行）,浅草線B1階改札外コンコース（A6出口付近）,【月曜】7時から24時まで【火曜～金曜】5時から24時まで【土曜】5時から22時まで【日曜】8時から21時まで【祝日】当該曜日営業時間,,,,,,
J,ATM（セブン銀行）,浅草線B1階改札外コンコース（A6出口付近）,【全日】5時から24時まで,,,,,,
K,ATM（みずほ銀行）,大江戸線B3階改札外コンコース（B4出口付近EV前）,【月曜】7時から24時まで【火曜～金曜】5時から24時まで【土曜】5時から22時まで【日曜】8時から21時まで【祝日】当該曜日営業時間,,,,,,
L,ATM（セブン銀行）,大江戸線B3階改札外コンコース（改札横）,【全日】5時から24時まで,,,,,,
