種別,人数,割引率,無賃扱い人数
学生団体,26人以上（うち学生25人以上）,2割5分,100人以下の団体については1人、101人以上の団体については2人
学生団体,300人以上,3割,100人以下の団体については1人、101人以上の団体については2人
普通団体,25人以上,1割7分,100人以下の団体については1人、101人以上の団体については2人
普通団体,300人以上,2割,100人以下の団体については1人、101人以上の団体については2人
