,大人（きっぷ）（円）,小児（きっぷ）（円）,大人（IC）（円）,小児（IC）（円）
1キロから4キロまで,180,90,178,89
5キロから9キロまで,220,110,220,110
10キロから15キロまで,280,140,272,136
16キロから21キロまで,330,170,325,162
22キロから27キロまで,380,190,377,188
28キロから46キロまで,430,220,430,215
