配置,施設名,設置場所,営業時間・利用時間,サイズ・口数（コインロッカー）,座席,電話番号,ホームページ,PASMO対応,備考
A,コインロッカー,B1階改札外コンコース（改札付近）,,※2【大型】8口【中型】8口【標準】9口【ハーフ】10口,,,,○,★宅配受取サービス（利用時間：5時から24時まで）
B,コインロッカー,B1階改札外コンコース（C5出口付近）,,※1【大型】7口【中型】7口【標準】8口,,,,○,
C,コインロッカー,B1階改札外コンコース（C6出口付近）,,※1【中型】12口【標準】20口,,,,,
D,証明写真機,B1階改札外コンコース（改札付近）,,,,,,,
E,ATM（セブン銀行）,B1階改札外コンコース（C5出口付近）,【全日】5時から24時まで,,,,,,
F,期間限定ショップ（ワゴン販売）,B1階改札外コンコース（C1出口付近）,,,,,,,週替わりで和菓子、洋菓子、雑貨など様々な商品を販売。出店予定スケジュール（https://www.tkk.or.jp/enterprise/station/shinjuku-sanchome/）
G,外貨両替機,B1階改札外コンコース（C1出口付近）,【全日】5時から24時まで,,,,,,
