区市,発売所,都営まるごときっぷ（IC）,都営まるごときっぷ（磁気券）,都営バス一日券（磁気券）
中野区,都営バス小滝橋営業所,×,〇,〇
杉並区,都営バス杉並支所,×,〇,〇
練馬区,都営バス練馬支所,×,〇,〇
練馬区,都営地下鉄練馬駅▲,◇,〇,×
板橋区,都営地下鉄高島平駅▲,◇,〇,×
