区市,発売所,所在地,電話,営業時間,休業日,地図
豊島区,都営バス巣鴨営業所,豊島区巣鴨2-9-8 都営バス「とげぬき地蔵」「巣鴨駅」すぐ,03-3918-0376,7:00～20:00,無休,http://www.kotsu.metro.tokyo.jp/bus/branch/map/eigyo_sugamo.html
豊島区,都営地下鉄巣鴨駅,都営三田線巣鴨駅構内 定期券発売所,03-3949-3997,8:00～20:00,無休,https://www.kotsu.metro.tokyo.jp/subway/stations/sugamo.html
豊島区,大塚駅前発売所,豊島区北大塚2-1 東京さくらトラム(都電荒川線)大塚駅前停留場内,03-3910-6255,8:00～19:30,土・日・祝,http://www.kotsu.metro.tokyo.jp/bus/noriba/ohtsuka/map.html
北区,都営バス北営業所,北区神谷3-10-6 都営バス「北車庫」「北車庫入口」すぐ,03-3903-6136,7:00～20:00,無休,http://www.kotsu.metro.tokyo.jp/bus/branch/map/eigyo_kita.html
北区,王子駅前発売所,北区王子1-10 王子駅北口ターミナル内,03-3927-0759,8:00～20:00,土・日・祝,http://www.kotsu.metro.tokyo.jp/bus/noriba/ouji/map.html
