号線,収入（千円）,支出（千円）,損益額（千円）,乗車料収入（千円／日）,乗車人員（人／日）,営業係数
A.浅草線,34212759,20716383,13496376,86358,742803,61
I.三田線,32469078,23192670,9276408,80975,657460,71
S.新宿線,41867961,31332957,10535004,100091,772415,75
E.大江戸線,57026767,56150306,876460,116897,956041,98
